kernel_off	status	cubin_size	f16x2	maxmin_f16	mma_k16
cuda_capture_kernel_0x72B2C0	OK	4456	0	0	0
cuda_capture_mv_dilate_kernel_0x72EEA8	OK	5408	0	0	0
cuda_capture_output_exposure_scale_kernel_0x72CE00	OK	4968	0	0	0
cuda_clear_view_kernel_0x730F28	OK	3368	0	0	0
cuda_font_kernel_0x7297A8	OK	3880	0	0	0
custom_block0_conv0_c8_kernel_0x646140	OK	9760	0	6	0
custom_block0_conv1_kernel_0x647650	OK	10272	0	6	0
custom_block0_conv2_kernel_0x648AD0	OK	11680	0	6	0
custom_block0_convPre_kernel_0x6450E0	OK	8608	0	6	0
custom_block0_conv_bot0_hf_kernel_0x649FC0	OK	11168	0	6	0
custom_block0_conv_bot1_hf_kernel_0x610B10	OK	11424	0	8	0
custom_block1_conv0_kernel_0x64D170	OK	9888	0	6	0
custom_block1_conv1_kernel_0x64E560	OK	9376	0	6	0
custom_block1_conv2_kernel_0x64F5C0	OK	9120	0	6	0
custom_block1_conv_bot0_hf_kernel_0x6508E0	OK	9632	0	6	0
custom_block1_conv_bot1_hf_kernel_0x651D70	OK	10528	0	8	0
custom_upsample_hf_kernel_0x64B2B0	OK	6056	0	0	0
k_central_block_original_0x64BAF0	OK	10720	0	0	0
k_conv_fp16_nhwc_0x1F2CF8	OK	20448	0	16	0
k_conv_fp16_nhwc_0x48D438	OK	9376	0	16	0
k_conv_fp16_nhwc_0x4CBA38	OK	7840	0	0	0
k_conv_fp16_nhwc_0x4FF8B8	OK	33376	0	48	0
k_conv_fp16_nhwc_0x504128	OK	9504	0	16	0
k_conv_fp16_nhwc_0x505488	OK	31648	0	8	0
k_conv_fp16_nhwc_0x50A068	OK	20576	0	16	0
k_conv_fp16_nhwc_0x50CD08	OK	29664	0	8	0
k_conv_fp16_nhwc_0x5106A8	OK	19360	0	8	0
k_conv_fp16_nhwc_0x514458	OK	19360	0	8	0
k_conv_fp16_nhwc_0x518208	OK	13216	0	8	0
k_conv_fp16_nhwc_0x519ED8	OK	14880	0	16	0
k_conv_fp16_nhwc_0x51BFD8	OK	14880	0	16	0
k_conv_fp16_nhwc_0x51F278	OK	11168	0	16	0
k_conv_fp16_nhwc_0xA6588	OK	19360	0	8	0
k_conv_fp16_nhwc_0xD11B8	OK	11296	0	16	0
k_element_wise_0x478D78	OK	7592	0	0	0
k_element_wise_0x513BE8	OK	7592	0	0	0
k_element_wise_0x517998	OK	7592	0	0	0
k_element_wise_0x51EA08	OK	7592	0	0	0
k_initial_merge_0x644D50	OK	3496	0	0	0
k_pooling_0x503938	OK	5288	0	0	0
k_upscale_0x3A22A8	OK	4904	0	0	0
k_upscale_0x5132E8	OK	4904	0	0	0
k_upscale_0x517098	OK	4904	0	0	0
k_upscale_0x51E108	OK	4904	0	0	0
main_kernel_0x6777A8	OK	18656	20	0	0
main_kernel_0x67FAD8	OK	5032	0	0	0
main_kernel_0x681748	OK	3368	0	0	0
main_kernel_0x682FE0	OK	5792	0	0	0
main_kernel_0x685BB0	OK	6816	0	0	0
main_kernel_0x688660	OK	4008	0	0	0
main_kernel_0x68A2E0	OK	5416	0	0	0
main_kernel_0x68F008	OK	17576	0	0	0
main_kernel_0x697CB8	OK	10024	0	0	0
main_kernel_0x6A90B0	OK	84000	0	0	0
main_kernel_0x6CD0F8	OK	7848	0	0	0
main_kernel_0x6D1100	OK	7976	0	0	0
main_kernel_0x6D4850	OK	5032	0	0	0
main_kernel_0x6D6660	OK	3368	0	0	0
main_kernel_0x6D8090	OK	6184	0	0	0
main_kernel_0x6DA848	OK	4264	0	0	0
main_kernel_0x6DCE60	OK	7328	1	0	0
main_kernel_0x6E05F0	OK	6696	0	0	0
main_kernel_0x6E3378	OK	4520	0	0	0
main_kernel_0x6E4DA8	OK	3112	0	0	0
main_kernel_0x6E8480	OK	20640	0	0	0
main_kernel_0x6F15E0	OK	7328	0	0	0
main_kernel_0x6F7D58	OK	26272	0	0	0
main_kernel_0x703AF0	OK	12704	0	0	0
main_kernel_0x70A750	OK	16160	8	0	0
main_kernel_0x711B90	OK	7584	8	0	0
main_kernel_0x718670	OK	26272	2	0	0
main_kernel_0x724640	OK	12448	0	0	0
