name	stream_off	RVA	target	version	len
k_conv_fp16_nhwc	681352	680924	sm_89	8.3	33113
k_conv_fp16_nhwc	856504	953964	sm_89	8.3	16452
k_conv_fp16_nhwc	2043128	2140588	sm_89	8.3	32739
k_upscale	3809960	3907420	sm_89	8.3	5482
k_element_wise	4689272	4786732	sm_89	8.3	5203
k_conv_fp16_nhwc	4772920	4870380	sm_89	8.3	12510
k_conv_fp16_nhwc	5028408	5125868	sm_89	8.3	9880
k_conv_fp16_nhwc	5241016	5338476	sm_89	8.3	56260
k_pooling	5257528	5354988	sm_89	8.3	5015
k_conv_fp16_nhwc	5259560	5357020	sm_89	8.3	12753
k_conv_fp16_nhwc	5264520	5361980	sm_89	8.3	59793
k_conv_fp16_nhwc	5283944	5381404	sm_89	8.3	33294
k_conv_fp16_nhwc	5295368	5392828	sm_89	8.3	43830
k_conv_fp16_nhwc	5310120	5407580	sm_89	8.3	33113
k_upscale	5321448	5418908	sm_89	8.3	5483
k_element_wise	5323752	5421212	sm_89	8.3	5213
k_conv_fp16_nhwc	5325912	5423372	sm_89	8.3	33113
k_upscale	5337240	5434700	sm_89	8.3	5483
k_element_wise	5339544	5437004	sm_89	8.3	5213
k_conv_fp16_nhwc	5341704	5439164	sm_89	8.3	20152
k_conv_fp16_nhwc	5349080	5446540	sm_89	8.3	24115
k_conv_fp16_nhwc	5357528	5454988	sm_89	8.3	24205
k_upscale	5366024	5463484	sm_89	8.3	5482
k_element_wise	5368328	5465788	sm_89	8.3	5213
k_conv_fp16_nhwc	5370488	5467948	sm_89	8.3	16213
custom_block0_conv_bot1_hf_kernel	6359824	6359416	sm_89	8.5	20436
k_initial_merge	6573392	6572984	sm_89	8.5	1814
custom_block0_convPre_kernel	6574304	6573896	sm_89	8.5	11637
custom_block0_conv0_c8_kernel	6578496	6578088	sm_89	8.5	16100
custom_block0_conv1_kernel	6583888	6583480	sm_89	8.5	15661
custom_block0_conv2_kernel	6589136	6588728	sm_89	8.5	16340
custom_block0_conv_bot0_hf_kernel	6594496	6594088	sm_89	8.5	13230
custom_upsample_hf_kernel	6599344	6598936	sm_89	8.5	4937
k_central_block_original	6601456	6601048	sm_89	8.5	19815
custom_block1_conv0_kernel	6607216	6606808	sm_89	8.5	14602
custom_block1_conv1_kernel	6612320	6611912	sm_89	8.5	11749
custom_block1_conv2_kernel	6616512	6616104	sm_89	8.5	14683
custom_block1_conv_bot0_hf_kernel	6621408	6621000	sm_89	8.5	14692
custom_block1_conv_bot1_hf_kernel	6626672	6626264	sm_89	8.5	17608
main_kernel	6767576	6865036	sm_120	8.7	40697
main_kernel	6780840	6878300	sm_89	8.7	42962
main_kernel	6812488	6909948	sm_120	8.7	4814
main_kernel	6814424	6911884	sm_89	8.7	4817
main_kernel	6820984	6918444	sm_120	8.7	1328
main_kernel	6821704	6919164	sm_89	8.7	1324
main_kernel	6825640	6923100	sm_120	8.7	6173
main_kernel	6828000	6925460	sm_89	8.7	6383
main_kernel	6836216	6933676	sm_120	8.7	8119
main_kernel	6839216	6936676	sm_89	8.7	8264
main_kernel	6848856	6946316	sm_120	8.7	2950
main_kernel	6850144	6947604	sm_89	8.7	2944
main_kernel	6855160	6952620	sm_120	8.7	5899
main_kernel	6857440	6954900	sm_89	8.7	5903
main_kernel	6865000	6962460	sm_120	8.7	37755
main_kernel	6877192	6974652	sm_89	8.7	39544
main_kernel	6907208	7004668	sm_120	8.7	20108
main_kernel	6913208	7010668	sm_89	8.7	21704
main_kernel	6929656	7027116	sm_120	8.7	188377
main_kernel	6983856	7081316	sm_89	8.7	204345
main_kernel	7127224	7224684	sm_120	8.7	11665
main_kernel	7131384	7228844	sm_89	8.7	12468
main_kernel	7143432	7240892	sm_120	8.7	12343
main_kernel	7147776	7245236	sm_89	8.7	12292
main_kernel	7159864	7257324	sm_120	8.7	5348
main_kernel	7161936	7259396	sm_89	8.7	5410
main_kernel	7168776	7266236	sm_120	8.7	1469
main_kernel	7169632	7267092	sm_89	8.7	1466
main_kernel	7173592	7271052	sm_120	8.7	8279
main_kernel	7176336	7273796	sm_89	8.7	8337
main_kernel	7185096	7282556	sm_120	8.7	3276
main_kernel	7186504	7283964	sm_89	8.7	3217
main_kernel	7192040	7289500	sm_120	8.7	11535
main_kernel	7196256	7293716	sm_89	8.7	11074
main_kernel	7207208	7304668	sm_120	8.7	9626
main_kernel	7210480	7307940	sm_89	8.7	9561
main_kernel	7220328	7317788	sm_120	8.7	4208
main_kernel	7222136	7319596	sm_89	8.7	4202
main_kernel	7228328	7325788	sm_120	8.7	653
main_kernel	7228840	7326300	sm_89	8.7	655
main_kernel	7232328	7329788	sm_120	8.7	31133
main_kernel	7242880	7340340	sm_89	8.7	40566
main_kernel	7276216	7373676	sm_120	8.7	10246
main_kernel	7280096	7377556	sm_89	8.7	10758
main_kernel	7291512	7388972	sm_120	8.7	45672
main_kernel	7306584	7404044	sm_89	8.7	48532
main_kernel	7348376	7445836	sm_120	8.7	18791
main_kernel	7355120	7452580	sm_89	8.7	19573
main_kernel	7374584	7472044	sm_120	8.7	23681
main_kernel	7382864	7480324	sm_89	8.7	30357
main_kernel	7408632	7506092	sm_120	8.7	10619
main_kernel	7412624	7510084	sm_89	8.7	11166
main_kernel	7423912	7521372	sm_120	8.7	50282
main_kernel	7439984	7537444	sm_89	8.7	53191
main_kernel	7481992	7579452	sm_120	8.7	20589
main_kernel	7489088	7586548	sm_89	8.7	21352
cuda_font_kernel	7508504	7605964	sm_120	8.7	2684
cuda_font_kernel	7509928	7607388	sm_89	8.7	2770
cuda_capture_kernel	7515272	7612732	sm_120	8.7	4008
cuda_capture_kernel	7516864	7614324	sm_89	8.7	2627
cuda_capture_output_exposure_scale_kernel	7522024	7619484	sm_120	8.7	4790
cuda_capture_output_exposure_scale_kernel	7523840	7621300	sm_89	8.7	3377
cuda_capture_mv_dilate_kernel	7529832	7627292	sm_120	8.7	5587
cuda_capture_mv_dilate_kernel	7532200	7629660	sm_89	8.7	5635
cuda_clear_view_kernel	7539848	7637308	sm_120	8.7	1051
cuda_clear_view_kernel	7540520	7637980	sm_89	8.7	1046
