ordinal	entry	source_file	res_ptx_len
2000	k_conv_fp16_nhwc	k_conv_fp16_nhwc_0xA6588.ptx (sm_89)	34429
2001	k_conv_fp16_nhwc	k_conv_fp16_nhwc_0xD11B8.ptx (sm_89)	17171
2002	k_conv_fp16_nhwc	k_conv_fp16_nhwc_0x1F2CF8.ptx (sm_89)	34095
2003	k_upscale	k_upscale_0x3A22A8.ptx (sm_89)	5813
2004	k_element_wise	k_element_wise_0x478D78.ptx (sm_89)	5445
2005	k_conv_fp16_nhwc	k_conv_fp16_nhwc_0x48D438.ptx (sm_89)	13083
2006	k_conv_fp16_nhwc	k_conv_fp16_nhwc_0x4CBA38.ptx (sm_89)	10273
2007	k_conv_fp16_nhwc	k_conv_fp16_nhwc_0x4FF8B8.ptx (sm_89)	58515
2008	k_pooling	k_pooling_0x503938.ptx (sm_89)	5314
2009	k_conv_fp16_nhwc	k_conv_fp16_nhwc_0x504128.ptx (sm_89)	13335
2010	k_conv_fp16_nhwc	k_conv_fp16_nhwc_0x505488.ptx (sm_89)	62068
2011	k_conv_fp16_nhwc	k_conv_fp16_nhwc_0x50A068.ptx (sm_89)	34669
2012	k_conv_fp16_nhwc	k_conv_fp16_nhwc_0x50CD08.ptx (sm_89)	45529
2013	k_conv_fp16_nhwc	k_conv_fp16_nhwc_0x5106A8.ptx (sm_89)	34429
2014	k_upscale	k_upscale_0x5132E8.ptx (sm_89)	5814
2015	k_element_wise	k_element_wise_0x513BE8.ptx (sm_89)	5455
2016	k_conv_fp16_nhwc	k_conv_fp16_nhwc_0x514458.ptx (sm_89)	34429
2017	k_upscale	k_upscale_0x517098.ptx (sm_89)	5814
2018	k_element_wise	k_element_wise_0x517998.ptx (sm_89)	5455
2019	k_conv_fp16_nhwc	k_conv_fp16_nhwc_0x518208.ptx (sm_89)	20988
2020	k_conv_fp16_nhwc	k_conv_fp16_nhwc_0x519ED8.ptx (sm_89)	25121
2021	k_conv_fp16_nhwc	k_conv_fp16_nhwc_0x51BFD8.ptx (sm_89)	25215
2022	k_upscale	k_upscale_0x51E108.ptx (sm_89)	5813
2023	k_element_wise	k_element_wise_0x51EA08.ptx (sm_89)	5455
2024	k_conv_fp16_nhwc	k_conv_fp16_nhwc_0x51F278.ptx (sm_89)	16923
2025	custom_block0_conv_bot1_hf_kernel	custom_block0_conv_bot1_hf_kernel_0x610B10.ptx (sm_89)	21325
2026	k_initial_merge	k_initial_merge_0x644D50.ptx (sm_89)	1874
2027	custom_block0_convPre_kernel	custom_block0_convPre_kernel_0x6450E0.ptx (sm_89)	12095
2028	custom_block0_conv0_c8_kernel	custom_block0_conv0_c8_kernel_0x646140.ptx (sm_89)	16754
2029	custom_block0_conv1_kernel	custom_block0_conv1_kernel_0x647650.ptx (sm_89)	16301
2030	custom_block0_conv2_kernel	custom_block0_conv2_kernel_0x648AD0.ptx (sm_89)	17056
2031	custom_block0_conv_bot0_hf_kernel	custom_block0_conv_bot0_hf_kernel_0x649FC0.ptx (sm_89)	13763
2032	custom_upsample_hf_kernel	custom_upsample_hf_kernel_0x64B2B0.ptx (sm_89)	5148
2033	k_central_block_original	k_central_block_original_0x64BAF0.ptx (sm_89)	21022
2034	custom_block1_conv0_kernel	custom_block1_conv0_kernel_0x64D170.ptx (sm_89)	15189
2035	custom_block1_conv1_kernel	custom_block1_conv1_kernel_0x64E560.ptx (sm_89)	12228
2036	custom_block1_conv2_kernel	custom_block1_conv2_kernel_0x64F5C0.ptx (sm_89)	15290
2037	custom_block1_conv_bot0_hf_kernel	custom_block1_conv_bot0_hf_kernel_0x6508E0.ptx (sm_89)	15273
2038	custom_block1_conv_bot1_hf_kernel	custom_block1_conv_bot1_hf_kernel_0x651D70.ptx (sm_89)	18432
2039	main_kernel	main_kernel_0x6743D8.ptx (sm_120)	40676
2040	main_kernel	main_kernel_0x67F348.ptx (sm_120)	4793
2041	main_kernel	main_kernel_0x681478.ptx (sm_120)	1307
2042	main_kernel	main_kernel_0x6826A8.ptx (sm_120)	6152
2043	main_kernel	main_kernel_0x684FF8.ptx (sm_120)	8098
2044	main_kernel	main_kernel_0x688158.ptx (sm_120)	2929
2045	main_kernel	main_kernel_0x6899F8.ptx (sm_120)	5878
2046	main_kernel	main_kernel_0x68C068.ptx (sm_120)	37734
2047	main_kernel	main_kernel_0x696548.ptx (sm_120)	20087
2048	main_kernel	main_kernel_0x69BCF8.ptx (sm_120)	188356
2049	main_kernel	main_kernel_0x6CC0B8.ptx (sm_120)	11644
2050	main_kernel	main_kernel_0x6D0008.ptx (sm_120)	12322
2051	main_kernel	main_kernel_0x6D4038.ptx (sm_120)	5327
2052	main_kernel	main_kernel_0x6D6308.ptx (sm_120)	1448
2053	main_kernel	main_kernel_0x6D75D8.ptx (sm_120)	8258
