ordinal	source	status	cubin_size
2000	k_conv_fp16_nhwc_0xA6588.ptx	OK	19360
2001	k_conv_fp16_nhwc_0xD11B8.ptx	OK	11296
2002	k_conv_fp16_nhwc_0x1F2CF8.ptx	OK	20448
2003	k_upscale_0x3A22A8.ptx	OK	4904
2004	k_element_wise_0x478D78.ptx	OK	7592
2005	k_conv_fp16_nhwc_0x48D438.ptx	OK	9376
2006	k_conv_fp16_nhwc_0x4CBA38.ptx	OK	7840
2007	k_conv_fp16_nhwc_0x4FF8B8.ptx	OK	33376
2008	k_pooling_0x503938.ptx	OK	5288
2009	k_conv_fp16_nhwc_0x504128.ptx	OK	9504
2010	k_conv_fp16_nhwc_0x505488.ptx	OK	31648
2011	k_conv_fp16_nhwc_0x50A068.ptx	OK	20576
2012	k_conv_fp16_nhwc_0x50CD08.ptx	OK	29664
2013	k_conv_fp16_nhwc_0x5106A8.ptx	OK	19360
2014	k_upscale_0x5132E8.ptx	OK	4904
2015	k_element_wise_0x513BE8.ptx	OK	7592
2016	k_conv_fp16_nhwc_0x514458.ptx	OK	19360
2017	k_upscale_0x517098.ptx	OK	4904
2018	k_element_wise_0x517998.ptx	OK	7592
2019	k_conv_fp16_nhwc_0x518208.ptx	OK	13216
2020	k_conv_fp16_nhwc_0x519ED8.ptx	OK	14880
2021	k_conv_fp16_nhwc_0x51BFD8.ptx	OK	14880
2022	k_upscale_0x51E108.ptx	OK	4904
2023	k_element_wise_0x51EA08.ptx	OK	7592
2024	k_conv_fp16_nhwc_0x51F278.ptx	OK	11168
2025	custom_block0_conv_bot1_hf_kernel_0x610B10.ptx	OK	11424
2026	k_initial_merge_0x644D50.ptx	OK	3496
2027	custom_block0_convPre_kernel_0x6450E0.ptx	OK	8608
2028	custom_block0_conv0_c8_kernel_0x646140.ptx	OK	9760
2029	custom_block0_conv1_kernel_0x647650.ptx	OK	10272
2030	custom_block0_conv2_kernel_0x648AD0.ptx	OK	11680
2031	custom_block0_conv_bot0_hf_kernel_0x649FC0.ptx	OK	11168
2032	custom_upsample_hf_kernel_0x64B2B0.ptx	OK	6056
2033	k_central_block_original_0x64BAF0.ptx	OK	10720
2034	custom_block1_conv0_kernel_0x64D170.ptx	OK	9888
2035	custom_block1_conv1_kernel_0x64E560.ptx	OK	9376
2036	custom_block1_conv2_kernel_0x64F5C0.ptx	OK	9120
2037	custom_block1_conv_bot0_hf_kernel_0x6508E0.ptx	OK	9632
2038	custom_block1_conv_bot1_hf_kernel_0x651D70.ptx	OK	10528
2039	main_kernel_0x6743D8.ptx	OK	18528
2040	main_kernel_0x67F348.ptx	OK	4904
2041	main_kernel_0x681478.ptx	OK	3368
2042	main_kernel_0x6826A8.ptx	OK	5792
2043	main_kernel_0x684FF8.ptx	OK	6816
2044	main_kernel_0x688158.ptx	OK	4008
2045	main_kernel_0x6899F8.ptx	OK	5544
2046	main_kernel_0x68C068.ptx	OK	17576
2047	main_kernel_0x696548.ptx	OK	9512
2048	main_kernel_0x69BCF8.ptx	OK	72608
2049	main_kernel_0x6CC0B8.ptx	OK	7464
2050	main_kernel_0x6D0008.ptx	OK	8104
2051	main_kernel_0x6D4038.ptx	OK	5032
2052	main_kernel_0x6D6308.ptx	OK	3368
2053	main_kernel_0x6D75D8.ptx	OK	6056
2054	main_kernel_0x6DA2C8.ptx	OK	4136
2055	main_kernel_0x6DBDE8.ptx	OK	7968
2056	main_kernel_0x6DF928.ptx	OK	6696
2057	main_kernel_0x6E2C68.ptx	OK	4520
2058	main_kernel_0x6E4BA8.ptx	OK	3112
2059	main_kernel_0x6E5B48.ptx	OK	15776
2060	main_kernel_0x6F06B8.ptx	OK	7456
2061	main_kernel_0x6F4278.ptx	OK	26528
2062	main_kernel_0x702098.ptx	OK	12960
2063	main_kernel_0x7086F8.ptx	OK	13472
2064	main_kernel_0x710BF8.ptx	OK	7584
2065	main_kernel_0x7147A8.ptx	OK	26016
2066	main_kernel_0x722A88.ptx	OK	12320
2067	cuda_font_kernel_0x729218.ptx	OK	3880
2068	cuda_capture_kernel_0x72AC88.ptx	OK	5224
2069	cuda_capture_output_exposure_scale_kernel_0x72C6E8.ptx	OK	5736
2070	cuda_capture_mv_dilate_kernel_0x72E568.ptx	OK	5408
2071	cuda_clear_view_kernel_0x730C88.ptx	OK	3368
